time,p
0.0,0.4777469
0.001,0.9491262
0.0020000001,1.456534
0.003,1.971445
0.0040000002,2.477633
0.0050000004,2.965459
0.0060000005,3.429277
0.0070000007,3.8659
0.0080000004,4.274015
0.0090000005,4.653318
0.010000001,5.004262
0.011000001,5.327791
0.012000001,5.625178
0.013000001,5.897865
0.014000001,6.147357
0.015000002,6.375204
0.016000001,6.582718
0.017000001,6.771719
0.018000001,6.943689
0.019000001,7.100032
0.020000001,7.242063
0.021000002,7.37099
0.022000002,7.487782
0.023000002,7.593652
0.024000002,7.689583
0.025000002,7.776515
0.026000002,7.855256
0.027000003,7.926574
0.028000003,7.990919
0.029000003,8.049102
0.030000003,8.101769
0.031000003,8.149389
0.032000002,8.192379
0.033,8.23129
0.033999998,8.266522
0.034999996,8.298374
0.035999995,8.32702
0.036999993,8.352948
0.037999991,8.376407
0.03899999,8.397665
0.039999988,8.416771
0.040999986,8.434049
0.041999985,8.44972
0.042999983,8.463909
0.043999981,8.47675
0.044999979,8.488403
0.045999978,8.498873
0.046999976,8.508368
0.047999974,8.516983
0.048999973,8.524699
0.049999971,8.531682
0.050999969,8.538003
0.051999968,8.543532
0.052999966,8.548587
0.053999964,8.553216
0.054999962,8.557451
0.055999961,8.561313
0.056999959,8.564828
0.057999957,8.568058
0.058999956,8.571042
0.059999954,8.573806
0.060999952,8.576239
0.061999951,8.578306
0.062999949,8.58015
0.063999951,8.581629
0.064999953,8.58303
0.065999955,8.584355
0.066999957,8.585611
0.067999959,8.586804
0.068999961,8.587924
0.069999963,8.588963
0.070999965,8.589968
0.071999967,8.590934
0.072999969,8.591866
0.073999971,8.592774
0.074999973,8.593368
0.075999975,8.593767
0.076999977,8.594192
0.077999979,8.594632
0.078999981,8.595088
0.079999983,8.595565
0.080999985,8.596049
0.081999987,8.596509
0.082999989,8.596981
0.083999991,8.59746
0.084999993,8.597957
0.085999995,8.598466
0.086999997,8.598986
0.088,8.599395
0.089000002,8.599771
0.090000004,8.60005
0.091000006,8.600345
0.092000008,8.60067
0.09300001,8.601024
0.094000012,8.601406
0.095000014,8.601765
0.096000016,8.602142
0.097000018,8.602549
0.09800002,8.602975
0.099000022,8.60342
0.1,8.603888
0.101,8.604177
0.102,8.604436
0.103,8.604736
0.104,8.60505
0.105,8.605321
0.106,8.605631
0.107,8.605962
0.108,8.606281
0.109,8.606623
0.11,8.606992
0.111,8.60739
0.112,8.607816
0.1130001,8.608256
0.1140001,8.608528
0.1150001,8.608771
