time,p
0.0,0.4579185
0.001,0.9040104
0.0020000001,1.385929
0.003,1.877239
0.0040000002,2.362644
0.0050000004,2.832877
0.0060000005,3.282336
0.0070000007,3.707788
0.0080000004,4.10758
0.0090000005,4.481135
0.010000001,4.828605
0.011000001,5.150634
0.012000001,5.448193
0.013000001,5.722459
0.014000001,5.974728
0.015000002,6.206356
0.016000001,6.418714
0.017000001,6.613156
0.018000001,6.790999
0.019000001,6.953507
0.020000001,7.101882
0.021000002,7.237259
0.022000002,7.360703
0.023000002,7.473207
0.024000002,7.575696
0.025000002,7.669026
0.026000002,7.753991
0.027000003,7.831319
0.028000003,7.901683
0.029000003,7.9657
0.030000003,8.023934
0.031000003,8.076904
0.032000002,8.125083
0.033,8.168903
0.033999998,8.208759
0.034999996,8.245014
0.035999995,8.277995
0.036999993,8.308002
0.037999991,8.335304
0.03899999,8.360152
0.039999988,8.382771
0.040999986,8.403364
0.041999985,8.42212
0.042999983,8.43921
0.043999981,8.454785
0.044999979,8.468985
0.045999978,8.481937
0.046999976,8.493757
0.047999974,8.504549
0.048999973,8.51441
0.049999971,8.523424
0.050999969,8.531671
0.051999968,8.539221
0.052999966,8.546138
0.053999964,8.552482
0.054999962,8.558305
0.055999961,8.563656
0.056999959,8.568578
0.057999957,8.573111
0.058999956,8.577292
0.059999954,8.581152
0.060999952,8.584721
0.061999951,8.588026
0.062999949,8.591092
0.063999951,8.593941
0.064999953,8.596592
0.065999955,8.599065
0.066999957,8.601375
0.067999959,8.603537
0.068999961,8.605566
0.069999963,8.607473
0.070999965,8.609269
0.071999967,8.610966
0.072999969,8.612571
0.073999971,8.614095
0.074999973,8.615544
0.075999975,8.616924
0.076999977,8.618243
0.077999979,8.619505
0.078999981,8.620717
0.079999983,8.621883
0.080999985,8.623007
0.081999987,8.624093
0.082999989,8.625144
0.083999991,8.626164
0.084999993,8.627155
0.085999995,8.628121
0.086999997,8.629063
0.088,8.629984
0.089000002,8.630886
0.090000004,8.63177
0.091000006,8.632639
0.092000008,8.633493
0.09300001,8.634334
0.094000012,8.635163
0.095000014,8.635982
0.096000016,8.63679
0.097000018,8.63759
0.09800002,8.638382
0.099000022,8.639167
0.1,8.639945
0.101,8.640717
0.102,8.641484
0.103,8.642246
0.104,8.643004
0.105,8.643758
0.106,8.644508
0.107,8.645255
0.108,8.645998
0.109,8.646739
0.11,8.647478
0.111,8.648214
0.112,8.648948
0.1130001,8.649681
0.1140001,8.650412
0.1150001,8.651141
0.1160001,8.65187
0.1170001,8.652597
0.1180001,8.653323
0.1190001,8.654049
0.1200001,8.654773
0.1210001,8.655497
0.1220001,8.656221
0.1230001,8.656944
0.1240001,8.657667
0.1250001,8.658389
0.1260001,8.659111
0.1270001,8.659832
0.1280001,8.660553
0.1290001,8.661274
0.1300001,8.661995
0.1310001,8.662717
0.1320001,8.663438
0.1330001,8.664159
0.1340001,8.66488
0.1350001,8.665601
0.1360001,8.666322
0.1370001,8.667043
0.1380001,8.667764
0.1390001,8.668486
0.1400001,8.669208
0.1410001,8.66993
0.1420001,8.670652
0.1430001,8.671374
0.1440001,8.672096
0.1450001,8.672818
0.1460001,8.67354
0.1470001,8.674262
0.1480001,8.674985
0.1490001,8.675708
0.1500001,8.676431
0.1510001,8.677154
0.1520001,8.677877
0.1530001,8.6786
0.1540001,8.679324
0.1550001,8.680048
0.1560001,8.680772
0.1570001,8.681496
0.1580001,8.682221
0.1590001,8.682945
0.1600001,8.68367
0.1610001,8.684396
0.1620001,8.685121
0.1630002,8.685847
0.1640002,8.686573
0.1650002,8.687299
0.1660002,8.688026
0.1670002,8.688752
0.1680002,8.689479
0.1690002,8.690206
0.1700002,8.690933
0.1710002,8.691661
0.1720002,8.692389
0.1730002,8.693117
0.1740002,8.693845
0.1750002,8.694574
0.1760002,8.695303
0.1770002,8.696032
0.1780002,8.696762
0.1790002,8.697491
0.1800002,8.698221
0.1810002,8.698951
0.1820002,8.699681
0.1830002,8.700412
0.1840002,8.701143
0.1850002,8.701874
0.1860002,8.702605
0.1870002,8.703337
0.1880002,8.704069
0.1890002,8.704801
0.1900002,8.705533
0.1910002,8.706266
0.1920002,8.706999
0.1930002,8.707732
0.1940002,8.708465
0.1950002,8.709198
0.1960002,8.709931
0.1970002,8.710665
0.1980002,8.711399
0.1990002,8.712134
0.2000002,8.712868
0.2010002,8.713603
0.2020002,8.714338
0.2030002,8.715074
0.2040002,8.715809
0.2050002,8.716545
0.2060002,8.717281
0.2070002,8.718018
0.2080002,8.718754
0.2090002,8.719491
0.2100002,8.720228
0.2110002,8.720965
0.2120003,8.721703
0.2130003,8.72244
0.2140003,8.723178
0.2150003,8.723917
0.2160003,8.724655
0.2170003,8.725394
0.2180003,8.726133
0.2190003,8.726872
0.2200003,8.727612
0.2210003,8.728352
0.2220003,8.729091
0.2230003,8.729831
0.2240003,8.730571
0.2250003,8.731311
0.2260003,8.732052
0.2270003,8.732793
0.2280003,8.733534
0.2290003,8.734275
0.2300003,8.735017
0.2310003,8.735759
0.2320003,8.736501
0.2330003,8.737243
0.2340003,8.737986
0.2350003,8.738729
0.2360003,8.739472
0.2370003,8.740215
0.2380003,8.740959
0.2390003,8.741703
0.2400003,8.742447
0.2410003,8.743192
0.2420003,8.743936
0.2430003,8.74468
0.2440003,8.745425
0.2450003,8.74617
0.2460003,8.746915
0.2470003,8.747661
0.2480003,8.748407
0.2490003,8.749152
0.2500003,8.749898
0.2510003,8.750644
0.2520003,8.75139
0.2530003,8.752137
0.2540003,8.752884
0.2550003,8.753632
0.2560003,8.75438
0.2570002,8.755128
0.2580002,8.755876
0.2590002,8.756625
0.2600002,8.757374
